organisatie_id,werksoort_id,vestiging_id,uitvoeringsvorm,betrouwbaarheid,bron_url
org015,verpakken,,,hoog,https://www.dethon.nl/
org015,co-packing,,,hoog,https://www.dethon.nl/
org015,magazijn-en-opslag,,,hoog,https://www.dethon.nl/montage-en-verpakking/producten-diensten/
org015,metaalbewerking,,,hoog,https://www.dethon.nl/metaal/
org015,lassen,,,laag,https://www.dethon.nl/metaal/producten-diensten/
org015,meubelmakerij,,,hoog,https://www.dethon.nl/
org015,groenvoorziening-en-onderhoud,,,hoog,https://www.dethon.nl/
org015,schoonmaak,,,hoog,https://www.dethon.nl/metaal/
org016,assemblage,,,laag,https://diamant-groep.nl/voor-wie/werkgevers/
org016,montage,,,hoog,https://diamant-groep.nl/voor-wie/werkgevers/
org016,verpakken,,,hoog,https://diamant-groep.nl/voor-wie/werkgevers/
org016,mailing-en-lettershop,,,laag,https://diamant-groep.nl/voor-wie/werkgevers/
org016,post-en-pakketbezorging,,,handmatig,https://diamant-groep.nl/voor-wie/werkgevers/
org016,groenvoorziening-en-onderhoud,,,hoog,https://diamant-groep.nl/uitvoerder-groen-tilburg/
org016,kwekerij-en-tuinbouw,,,hoog,https://diamant-groep.nl/voor-wie/werkgevers/
org016,openbare-ruimte-en-straatreiniging,,,hoog,https://diamant-groep.nl/voor-wie/werkgevers/
org016,schoonmaak,,,hoog,https://diamant-groep.nl/voor-wie/werkgevers/
org016,kringloop-en-hergebruik,,,midden,https://diamant-groep.nl/assistent-teamleider-logistiek-tilburg/
org017,assemblage,,,hoog,https://dokwurk.nl/werk-uitbesteden/
org017,montage,,,hoog,https://dokwurk.nl/werk-uitbesteden/
org017,verpakken,,,hoog,https://dokwurk.nl/
org017,co-packing,,,midden,https://dokwurk.nl/werk-uitbesteden/verpakken/mix-specials-verpakken/
org017,houtbewerking,,,hoog,https://dokwurk.nl/
org017,groenvoorziening-en-onderhoud,,,hoog,https://dokwurk.nl/werk-uitbesteden/
org017,schoonmaak,,,hoog,https://dokwurk.nl/werk-uitbesteden/
org018,assemblage,,,hoog,https://doon-roermond.nl/voor-bedrijven/industriele-dienstverlening
org018,montage,,,hoog,https://doon-roermond.nl/voor-bedrijven/industriele-dienstverlening
org018,verpakken,,,hoog,https://doon-roermond.nl/voor-bedrijven/industriele-dienstverlening
